sub_id,Winding,Gannon A/ph,100-year-hazard A/ph,500-year-hazard A/ph,1000-year-hazard A/ph,latitude,longitude,Transformer
82004992,HV,1.719848693123278,21.07814805641063,43.91194854676791,59.29726283869486,43.93182620629218,-70.20327037247132,82004992_non_auto
82004992,LV,0.14924153854675146,1.826842895965564,3.8073581912684165,5.1431835491231785,43.93182620629218,-70.20327037247132,82004992_non_auto
82004992,Series,1.8454965968637236,22.489245866038004,46.83071028696089,63.22048833453783,43.93182620629218,-70.20327037247132,82004992_auto
82004992,Common,1.5231350959043168,18.543268006226977,38.60682241740976,52.11121973497431,43.93182620629218,-70.20327037247132,82004992_auto
47429571,HV,0.17908378969018596,0.6435088541782609,1.1768957041253905,1.482474252885663,28.470988734764298,-81.44088812710847,47429571_non_auto
47429571,LV,0.01972955328579154,0.07108883208899607,0.1300762480386603,0.16384749603754895,28.470988734764298,-81.44088812710847,47429571_non_auto
47429571,Series,0.1786081268061297,0.6421865607548515,1.1747739267586697,1.4797959867265,28.470988734764298,-81.44088812710847,47429571_auto
47429571,Common,0.1403821073474485,0.5044519126469653,0.9227511301998902,1.1623413802338167,28.470988734764298,-81.44088812710847,47429571_auto
172016584,HV,2.548633783981098,17.446641311269683,33.77986049045132,43.463085599132334,40.25416679017616,-74.11846467339706,172016584_non_auto
172016584,LV,0.1591805477662948,1.0849854007139157,2.1006379376115665,2.702455552994416,40.25416679017616,-74.11846467339706,172016584_non_auto
172016584,Series,2.5035646482650566,17.136919706668632,33.15213661515464,42.63821741603597,40.25416679017616,-74.11846467339706,172016584_auto
172016584,Common,2.082621794916359,14.2677447677614,27.59713311260242,35.49174550165134,40.25416679017616,-74.11846467339706,172016584_auto
1115995434,HV,0.0,0.0,0.0,0.0,46.08793157099949,-98.90383997943138,1115995434_non_auto
1115995434,LV,0.0,0.0,0.0,0.0,46.08793157099949,-98.90383997943138,1115995434_non_auto
1115995434,Series,0.0,0.0,0.0,0.0,46.08793157099949,-98.90383997943138,1115995434_auto
1115995434,Common,0.0,0.0,0.0,0.0,46.08793157099949,-98.90383997943138,1115995434_auto
97126451,HV,0.06819494234087127,0.43600570244214065,0.7388226587109191,0.9204634971944671,37.02836144878278,-76.42968634818175,97126451_non_auto
97126451,LV,0.005390836624289609,0.034377440243722954,0.05828460498256549,0.07259375927296814,37.02836144878278,-76.42968634818175,97126451_non_auto
97126451,Series,0.07070098356497047,0.4517406150038787,0.7658892064869696,0.9540335751769166,37.02836144878278,-76.42968634818175,97126451_auto
97126451,Common,0.06020304508273217,0.38479511574033376,0.6523876785664762,0.8126668697514019,37.02836144878278,-76.42968634818175,97126451_auto
164419150,HV,2.654019810387684,1.9010704830608756,2.7475269583442765,3.0537772382316417,33.63052964310055,-87.0556664332525,164419150_non_auto
164419150,LV,1.9301272565725347,0.9935189193434192,1.5896783382538737,1.858640572528121,33.63052964310055,-87.0556664332525,164419150_non_auto
164419150,Series,3.41355187267855,2.2880422660845228,3.344864585347592,3.7472272488454634,33.63052964310055,-87.0556664332525,164419150_auto
164419150,Common,0.5025739661011351,0.6319777130206401,0.8739714863002108,0.9844440109527743,33.63052964310055,-87.0556664332525,164419150_auto
81524462,HV,0.10557246388354782,0.5881525726094552,1.0483320557939544,1.3128610257458515,36.98661163051016,-76.43038552042745,81524462_non_auto
81524462,LV,0.009822755001391912,0.051511574823036976,0.0917493272229604,0.11487513109616805,36.98661163051016,-76.43038552042745,81524462_non_auto
81524462,Series,0.12453169535070024,0.663192224655823,1.17977991635381,1.4763023175753818,36.98661163051016,-76.43038552042745,81524462_auto
81524462,Common,0.10533675958496083,0.5625319755513987,1.0004899208701652,1.2518215256081044,36.98661163051016,-76.43038552042745,81524462_auto
166776121,HV,0.5638469170895903,0.2308542869350248,0.6003206532875296,0.811636368764745,30.560548389687327,-81.85030127214779,166776121_non_auto
166776121,LV,0.05775381072826408,0.024518750803674393,0.06144938177653902,0.08279616068454365,30.560548389687327,-81.85030127214779,166776121_non_auto
166776121,Series,0.564180210098996,0.22810905825805194,0.5816969053505312,0.7890798654561205,30.560548389687327,-81.85030127214779,166776121_auto
166776121,Common,0.46629234707493683,0.18655183053112773,0.47754536642691026,0.648747328344702,30.560548389687327,-81.85030127214779,166776121_auto
39331421,HV,0.9927831769987084,10.697640282678424,21.74654865803854,29.104040034366754,34.93703018448539,-92.43852615254023,39331421_non_auto
39331421,LV,0.08913628205460215,0.958731687803739,1.9473019228937833,2.60628665498247,34.93703018448539,-92.43852615254023,39331421_non_auto
39331421,Series,1.0446071157183785,11.31917239981231,23.011018381811255,30.782831749453454,34.93703018448539,-92.43852615254023,39331421_auto
39331421,Common,0.8671449356317016,9.410425280409418,19.13411834206948,25.59395337550156,34.93703018448539,-92.43852615254023,39331421_auto
175368291,HV,0.26063897949750825,1.111309964021732,2.197488376378543,2.878772623294051,43.000030338277504,-85.41540713465261,175368291_non_auto
175368291,LV,0.020350840618704583,0.08804114212768925,0.17371422709613982,0.22738029084856248,43.000030338277504,-85.41540713465261,175368291_non_auto
175368291,Series,0.28524577574428056,1.2453470823311634,2.462493720014393,3.222801012241048,43.000030338277504,-85.41540713465261,175368291_auto
175368291,Common,0.25033194014149374,1.0943039661901526,2.16447011800231,2.832708074706315,43.000030338277504,-85.41540713465261,175368291_auto
49615856,HV,0.0,0.0,0.0,0.0,26.44629530715679,-80.088674902768,49615856_non_auto
49615856,LV,0.0,0.0,0.0,0.0,26.44629530715679,-80.088674902768,49615856_non_auto
