sub_id,name,type,bus1,bus2,W1,W2,latitude,longitude,gic
136134730,T347,GY-D,1077,1078,0.05,0.1,30.15855355357337,-81.51856892690151,{'i_k': -4.366601851379096}
52020827,T348,GY-D,5387,5388,0.05,0.1,33.34159086814488,-82.14966942199517,{'i_k': -12.923815647805734}
106935619,T349,Auto,438,437,0.04,0.06,45.33097098731897,-93.84622544525558,"{'i_s': -43.83198433901296, 'i_c': -36.818280911768156}"
183691714,T350,GY-D,3407,3408,0.05,0.1,40.81297177580707,-75.56897322454778,{'i_k': -8.851493676073474}
177931269,T351,GY-D,3093,3094,0.05,0.1,34.12927981431879,-84.22987935788207,{'i_k': -5.0180896527250916}
120865501,T352,GY-GY,768,767,0.04,0.06,34.9976386048611,-81.12156850418422,"{'i_w1': 105.9490154226504, 'i_w2': -59.8358040972595}"
178843565,T353,GY-D,3139,3140,0.05,0.1,39.16543651688644,-85.95978828048526,{'i_k': -16.319675400380405}
42678119,T354,GY-GY,4958,4957,0.04,0.06,40.24047916802435,-74.5184975680461,"{'i_w1': -183.37422862084483, 'i_w2': -169.9590541408446}"
28269279,T355,GY-D,4233,4234,0.05,0.1,44.50007871822065,-89.60527317102101,{'i_k': -185.7134799076464}
186844739,T356,GY-D,3743,3744,0.05,0.1,30.567345527123532,-91.0036401631626,{'i_k': 0.8292358265893097}
88894645,T357,GY-D,6727,6728,0.05,0.1,35.9517699987561,-77.83319177218434,{'i_k': -76.41308841772214}
153209368,T358,GY-D,1481,1482,0.05,0.1,40.44315965625092,-86.9967737501165,{'i_k': 11.63043705272469}
183679586,T359,GY-D,3403,3404,0.05,0.1,40.98031649226772,-75.17148320617201,{'i_k': -30.546800047892425}
455746945,T360,GY-D,5077,5078,0.05,0.1,26.31233542513313,-80.2188390565677,{'i_k': 0.0}
106016830,T361,GY-D,381,382,0.05,0.1,41.16963539737505,-95.969461923864,{'i_k': -154.08770064112522}
308579947,T362,GY-D,4323,4324,0.05,0.1,41.68585676550912,-70.3503228228959,{'i_k': 0.0}
176716335,T363,GY-D,2991,2992,0.05,0.1,40.81949067989581,-74.38007120507044,{'i_k': -112.35520976760915}
89374665,T364,GY-D,6755,6756,0.05,0.1,41.66889812849717,-86.1363646035899,{'i_k': 30.53482766549744}
64882304,T365,GY-D,5897,5898,0.05,0.1,38.71386745018084,-76.80574025439776,{'i_k': 6.839050798544072}
181529002,T366,GY-D,3263,3264,0.05,0.1,35.625823679478046,-77.36551155010602,{'i_k': -19.97185394960398}
53533932,T367,GY-GY,5472,5471,0.04,0.06,39.29640124782233,-77.51480430816592,"{'i_w1': -194.4625786868113, 'i_w2': -48.38903831844928}"
171479149,T368,GY-D,2455,2456,0.05,0.1,33.71061103437909,-84.35044884181991,{'i_k': 2.6004590514931736}
125107942,T369,GY-GY,876,875,0.04,0.06,40.42912848670001,-77.17092905066097,"{'i_w1': -185.78832041932625, 'i_w2': -11.58429076674138}"
187498981,T370,GY-D,3835,3836,0.05,0.1,31.26843241737172,-92.51347146364785,{'i_k': 0.5830999752010679}
170295999,T371,GY-D,2321,2322,0.05,0.1,33.233801945276724,-82.38065697221512,{'i_k': -17.809105610295095}
377964587,T372,GY-D,4703,4704,0.05,0.1,27.28486666876636,-82.44753333163906,{'i_k': -0.8475432557051905}
159608149,T373,GY-D,1631,1632,0.05,0.1,34.260508350400805,-83.71344375005953,{'i_k': -29.81730788344342}
185201670,T374,GY-D,3541,3542,0.05,0.1,34.12224642339443,-80.94402434932711,{'i_k': -25.6222587484206}
81603219,T375,GY-D,6417,6418,0.05,0.1,36.87108221547029,-76.37696459747623,{'i_k': -8.490301568927476}
33171108,T376,GY-GY,4422,4421,0.04,0.06,40.33283999613486,-83.43021161304627,"{'i_w1': -168.1587674365964, 'i_w2': -64.1516184374726}"
32334769,T377,GY-GY,4374,4373,0.04,0.06,35.87140190377943,-78.9306873678329,"{'i_w1': 221.9528875217467, 'i_w2': -19.41520757320378}"
162215857,T378,GY-D,1781,1782,0.05,0.1,36.01143338132106,-80.22223872164983,{'i_k': 95.02720341510846}
177931192,T379,GY-D,3075,3076,0.05,0.1,34.057852574794126,-84.27601224169496,{'i_k': -4.155531745206672}
177930723,T380,GY-D,3073,3074,0.05,0.1,41.63820943500989,-88.09483006990206,{'i_k': -82.84780262288525}
245674493,T381,GY-D,4111,4112,0.05,0.1,43.20961344770045,-84.52940069283348,{'i_k': -47.51986247188517}
28358003,T382,GY-D,4235,4236,0.05,0.1,39.15285934094885,-84.40517158387371,{'i_k': -20.92670424347409}
80436792,T383,GY-D,6337,6338,0.05,0.1,35.22706034145292,-85.09419779291811,{'i_k': -108.14484931203387}
99456116,T384,GY-GY,7340,7339,0.04,0.06,31.52439403720478,-90.64411441361028,"{'i_w1': -15.782022809885817, 'i_w2': -1.3405248623732073}"
178742281,T385,GY-D,3131,3132,0.05,0.1,34.2099045604265,-84.77906389425391,{'i_k': -16.31690826426296}
170618761,T386,GY-D,2351,2352,0.05,0.1,38.97982784037399,-91.9802424688535,{'i_k': -32.19182127244582}
1043421663,T387,GY-D,237,238,0.05,0.1,42.37943549911303,-87.82287271908365,{'i_k': -7.283621919155181}
136962270,T388,Auto,1100,1099,0.04,0.06,42.13136978177749,-71.26833822943794,"{'i_s': 265.06858120127697, 'i_c': -215.66791680844403}"
159608145,T389,GY-GY,1630,1629,0.04,0.06,34.21873985393085,-83.80262963723395,"{'i_w1': 208.6696049403931, 'i_w2': -35.18589652202345}"
16489940,T390,GY-D,1971,1972,0.05,0.1,35.0566591348973,-85.38728918846688,{'i_k': -2.669628073712532}
186981876,T391,GY-D,3787,3788,0.05,0.1,33.96559614569613,-89.90128076783961,{'i_k': -2.9594097751112183}
95917068,T392,GY-D,7121,7122,0.05,0.1,40.53357917109825,-74.42528676647173,{'i_k': 51.559758080796854}
36924532,T393,GY-D,4651,4652,0.05,0.1,39.766666677805816,-83.97848437126535,{'i_k': -35.30949417854762}
186526644,T394,GY-D,3675,3676,0.05,0.1,30.912708877446764,-89.33587913730739,{'i_k': -2.5380039113367476}
1157963256,T395,GY-D,641,642,0.05,0.1,25.43554279569024,-80.33361005614529,{'i_k': 0.0}
