sub_id,name,type,bus1,bus2,W1,W2,latitude,longitude,gic
102517038,T1999,GY-GY,86,85,0.04,0.06,47.57591317482864,-114.62872796051566,"{'i_w1': -1.2128521291119994, 'i_w2': 0.0}"
102124678,T2000,GY-GY,64,63,0.04,0.06,46.5156922316592,-112.8881091565144,"{'i_w1': -118.40413039280352, 'i_w2': -54.81082125581368}"
97208559,T2001,GY-GY,7220,7219,0.04,0.06,46.05137886283676,-108.85211402476664,"{'i_w1': -2.7396556768236913, 'i_w2': -11.03703646805369}"
101852412,T2002,GY-GY,52,51,0.04,0.06,45.891074253793775,-106.6135735067406,"{'i_w1': 41.90094654415591, 'i_w2': 0.0}"
102968066,T2003,Auto,116,115,0.04,0.06,42.71043330671962,-111.59628125851197,"{'i_s': -5.2356127891103945, 'i_c': -5.235612601873205}"
101569954,T2004,Auto,42,41,0.04,0.06,41.73429526650928,-108.79013133352446,"{'i_s': 5.2356129840600145, 'i_c': 5.235612977104852}"
33724191,T2005,Auto,4454,4453,0.04,0.06,41.09498288927849,-112.04339986371497,"{'i_s': -3.299126284902469, 'i_c': -3.2991262721050045}"
33656122,T2006,GY-D,4441,4442,0.05,0.1,40.75771504868293,-112.00667208558146,{'i_k': 0.7340249060294793}
33545098,T2007,GY-D,4433,4434,0.05,0.1,40.70719746075423,-111.92889528940856,{'i_k': 2.5651013805860803}
33835720,T2008,GY-D,4479,4480,0.05,0.1,39.82394658478192,-111.9040503903592,{'i_k': -18.214037191984882}
702276779,T2009,GY-D,6073,6074,0.05,0.1,39.78900312134938,-111.8949955917248,{'i_k': -3.1941464155926593}
104538864,T2010,Auto,260,259,0.04,0.06,38.844515457286114,-111.99297264571034,"{'i_s': -12.762664006471793, 'i_c': -14.63447208746436}"
733150671,T2011,GY-D,6167,6168,0.05,0.1,40.33107779347882,-111.76090921956371,{'i_k': -0.19716170756284618}
1152745040,T2012,GY-D,617,618,0.05,0.1,39.38324364377438,-111.08573940560188,{'i_k': -5.335409596850365}
